region,year,reg_potential,avg_coherence,avg_betweenness,potq,cohq,betq,coht,ctr
ITC4,2014,0.5972006220839814,0.57934319921726,0.0037964659201454977,9,9,3,above,IT
DE92,2014,0.6018662519440124,0.5828783207500267,0.004206530595397051,9,10,4,above,DE
FRL0,2014,0.578538102643857,0.5697660192076401,0.004864901859717979,9,8,7,above,FR
CZ08,2014,0.007776049766718507,0.5246658522649665,0.003975799239883747,2,2,3,below,CZ
NL34,2014,0.01866251944012442,0.5084977042511949,0.005021201555739666,3,2,7,below,NL
ES13,2014,0.01088646967340591,0.5172265354785406,0.005862737187010954,2,2,9,below,ES
