region,region_name,tech,tech_name,potential,coherence,potq,cohq
SE22,"Sydsverige, Sweden",H10K,ORGANIC ELECTRIC SOLID-STATE DEVICES,0.525267295044556,0.43675616130872297,10,4
UKH3,"Essex, UK",H10K,ORGANIC ELECTRIC SOLID-STATE DEVICES,0.761058467021536,0.3819077791032586,10,3
